LEGO Batman: The Videogame,Wii,N/A,Action
Rhythm Heaven,DS,2008,Misc
Ace Combat 04: Shattered Skies,PS2,2001,Simulation
Club Penguin: Elite Penguin Force,DS,2008,Adventure
Animal Crossing,GC,2001,Simulation
LEGO Batman: The Videogame,DS,2008,Action
Sonic Rush,DS,2005,Platform
Resident Evil 6,PS3,2012,Shooter
Halo: The Master Chief Collection,XOne,2014,Shooter
FIFA Soccer 08,PS2,2007,Sports
Spider-Man,PS,2000,Action
Need for Speed III: Hot Pursuit,PS,1998,Racing
Star Wars Episode I Racer,N64,1999,Racing
Personal Trainer: Cooking,DS,2006,Misc
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing
Dragon Warrior IV,NES,1990,Role-Playing
Heavy Rain,PS3,2010,Adventure
Mass Effect 2,X360,2010,Role-Playing
FIFA 15,X360,2014,Sports
Dragon Ball Z: Budokai,PS2,2002,Fighting
Madden NFL 2002,PS2,2001,Sports
World Class Track Meet,NES,1986,Sports
Borderlands 2,X360,2012,Shooter
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action
Donkey Kong,GB,1994,Platform
The Sims: Vacation,PC,2002,Simulation
Mass Effect 3,X360,2012,Role-Playing
Kung Fu Panda,X360,2008,Action
Far Cry 3,X360,2012,Shooter
Epic Mickey,Wii,2010,Platform
Saints Row 2,X360,2008,Action
Rayman,PS,1995,Platform
Killzone 2,PS3,2009,Shooter
Tom Clancy's Splinter Cell,XB,2002,Action
Mike Tyson's Punch-Out!!,NES,1987,Fighting
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports
Gears of War: Ultimate Edition,XOne,2015,Shooter
NBA 2K13,X360,2012,Sports
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting
wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting
Middle-Earth: Shadow of Mordor,PS4,2014,Action
Star Fox,SNES,1993,Shooter
The Sims: Livin Large,PC,2000,Misc
World Soccer Winning Eleven 6 International,PS2,2002,Sports
Devil May Cry,PS2,2001,Action
Animal Crossing: Happy Home Designer,3DS,2015,Simulation
Battlefield: Bad Company 2,PS3,2010,Shooter
The Sims 4,PC,2014,Simulation
Star Wars: The Old Republic,PC,2011,Role-Playing
Sonic Heroes,PS2,2003,Platform
Kirby Super Star Ultra,DS,2008,Platform
Hitman 2: Silent Assassin,PS2,2002,Action
Street Fighter IV,X360,2009,Fighting
Wave Race 64,N64,1996,Racing
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting
inFAMOUS,PS3,2009,Action
Pac-Man Collection,GBA,2001,Puzzle
Mass Effect,X360,2007,Role-Playing
WarioWare: Smooth Moves,Wii,2006,Puzzle
Cooking Mama: Cook Off,Wii,2007,Simulation
Super Mario World 2: Yoshi's Island,GBA,2002,Platform
FIFA 14,PS4,2013,Sports
Titanfall,XOne,2014,Shooter
Sonic Mega Collection Plus,PS2,2004,Misc
Sega Superstars Tennis,X360,2008,Sports
World Soccer Winning Eleven 7 International,PS2,2003,Sports
Need for Speed: Most Wanted,PS3,2012,Racing
Hot Shots Golf 3,PS2,2001,Sports
Call of Duty: Finest Hour,PS2,2004,Shooter
Zumba Fitness 2,Wii,2011,Sports
Syphon Filter,PS,1999,Shooter
Imagine: Babyz,DS,2007,Simulation
Colin McRae Rally,PS,1998,Racing
Call of Duty: Ghosts,XOne,2013,Shooter
Madden NFL 13,X360,2012,Sports
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing
Mortal Kombat,PS3,2011,Fighting
F-Zero,SNES,1990,Racing
Yoshi's Story,N64,1997,Platform
Command & Conquer: Red Alert,PC,1996,Strategy
Skylanders: Spyro's Adventure,Wii,2011,Action
FIFA 16,PS3,2015,Sports
Assassin's Creed: Brotherhood,PS3,2010,Action
BioShock,X360,2007,Shooter
Madden NFL 10,X360,2009,Sports
Medal of Honor,PS3,2010,Shooter
WWE SmackDown! vs. Raw,PS2,2002,Fighting
Metroid Prime,GC,2002,Shooter
Finding Nemo,GBA,2003,Action
Myst,PC,1994,Adventure
Need for Speed: Hot Pursuit,PS3,2010,Racing
Imagine: Fashion Designer,DS,2007,Simulation
WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting
Star Wars: The Force Unleashed,X360,2008,Action
Yoshi's Island DS,DS,2006,Platform
Hot Shots Golf,PS,1997,Sports
Killzone 3,PS3,2011,Shooter
A Bug's Life,PS,1998,Platform
WWF SmackDown! Just Bring It,PS2,2001,Fighting
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing
Mortal Kombat Trilogy,PS,1996,Fighting
Battlefield 3,PC,2011,Shooter
NBA Street,PS2,2001,Sports
Professor Layton and the Last Specter,DS,2009,Puzzle
Monster Hunter Tri,3DS,2011,Role-Playing
Jak II,PS2,2003,Platform
inFAMOUS: Second Son,PS4,2014,Action
Ratchet & Clank: Going Commando,PS2,2003,Platform
Tekken 6,PS3,2009,Fighting
The Sims,PS2,2003,Simulation
Sonic and the Secret Rings,Wii,2007,Platform
Saints Row: The Third,X360,2011,Action
Missile Command,2600,1980,Shooter
Mario Paint,SNES,1992,Misc
Assassin's Creed IV: Black Flag,PS4,2013,Action
Pokémon Stadium 2,N64,2000,Strategy
Metroid,NES,1986,Action
L.A. Noire,X360,2011,Adventure
Call of Duty 3,X360,2006,Shooter
The Legend of Zelda: A Link to the Past,GBA,2002,Action
Onimusha: Warlords,PS2,2001,Action
Mortal Kombat X,PS4,2015,Fighting
Mario Party,N64,1998,Misc
Madden NFL 12,X360,2011,Sports
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action
Madden NFL 11,X360,2010,Sports
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle
Skate 3,X360,2010,Sports
Burnout 3: Takedown,PS2,2004,Racing
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing
Need for Speed: Shift,PS3,2009,Racing
Final Fantasy XIII-2,PS3,2011,Role-Playing
Mortal Kombat,GEN,1992,Fighting
Call Of Duty 2: Big Red One,PS2,2005,Shooter
Guitar Hero: World Tour,X360,2008,Misc
Medal of Honor,PS,1998,Shooter
Fable,XB,2004,Role-Playing
Hannah Montana,DS,2006,Action
Tom Clancy's Splinter Cell,PS2,2003,Action
Skylanders Giants,Wii,2012,Action
Medal of Honor Heroes,PSP,2006,Shooter
Super Mario Bros.: The Lost Levels,NES,1986,Platform
Star Wars: Shadows of the Empire,N64,1996,Action
LEGO Star Wars: The Complete Saga,X360,2007,Action
Midnight Club: Street Racing,PS2,2000,Racing
Pac-Man: Adventures in Time,PSP,2006,Fighting
Halo Wars,X360,2009,Strategy
God of War Collection,PS3,2009,Action
ESPN NFL 2K5,PS2,2004,Sports
Mario Strikers Charged,Wii,2007,Sports
Medal of Honor,X360,2010,Shooter
FIFA Soccer 10,X360,2009,Sports
NBA 2K12,X360,2011,Sports
Style Savvy,DS,2008,Simulation
Harry Potter and the Chamber of Secrets,PS2,2002,Action
Super Mario All-Stars: Limited Edition,Wii,2010,Platform
Streets of Rage,GEN,1990,Action
FIFA Soccer 09,PS3,2008,Sports
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform
NBA Live 2005,PS2,2004,Sports
LittleBigPlanet,PSP,2009,Platform
Killzone: Shadow Fall,PS4,2013,Shooter
Ghostbusters: The Video Game (DS Version),X360,2009,Action
Monster Hunter Freedom 2,PSP,2007,Role-Playing
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform
Art Academy,DS,2010,Misc
Dragon Age: Origins,X360,2009,Role-Playing
Madden NFL 08,PS2,2007,Sports
Sonic Adventure 2 Battle,GC,2001,Platform
Dragon Warrior II,NES,1987,Role-Playing
Madden NFL 13,PS3,2012,Sports
Pokémon Colosseum,GC,2003,Role-Playing
Deca Sports,Wii,2008,Sports
Madden NFL 09,X360,2008,Sports
